id|zone|trigger_eq_npc_id|action|target_eq_npc_id|chance|alt_group|alt_id|alt_weight|at_corpse|x|y|z|heading|delay_min_ms|delay_max_ms|only_if_not_alive|require_dead_eq_npc_ids|require_alive_eq_npc_ids|add_to_hate|trigger_min_level|trigger_max_level|min_expansion|max_expansion|comment
1|airplane|71005|spawn|71103|100|0|0|0|1|0|10|0|0|0|0|0|||0|0|0|-1|-1|71005
2|airplane|71005|spawn|71103|100|0|0|0|1|0|-10|0|0|0|0|0|||0|0|0|-1|-1|71005
3|airplane|71006|spawn|71106|100|0|0|0|1|0|10|0|0|0|0|0|||0|0|0|-1|-1|71006
4|airplane|71006|spawn|71106|100|0|0|0|1|0|-10|0|0|0|0|0|||0|0|0|-1|-1|71006
5|airplane|71006|spawn|71106|100|0|0|0|1|0|0|0|0|0|0|0|||0|0|0|-1|-1|71006
6|airplane|71007|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71008|0|0|0|-1|-1|spiroc ladder repop via arbiter
7|airplane|71008|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71022|0|0|0|-1|-1|spiroc ladder repop via vanquisher
8|airplane|71010|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71011|0|0|0|-1|-1|spiroc ladder repop via expulser
9|airplane|71011|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71020|0|0|0|-1|-1|spiroc ladder repop via vanquisher
10|airplane|71012|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71013|0|0|0|-1|-1|spiroc ladder repop via guardian
11|airplane|71012|spawn|71058|100|0|0|0|1|0|0|0|0|0|0|71058|||0|0|0|-1|-1|Sirran_the_Lunatic
12|airplane|71013|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71014|0|0|0|-1|-1|spiroc ladder repop via walker
13|airplane|71013|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71007|0|0|0|-1|-1|spiroc ladder repop via banisher
14|airplane|71013|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71010|0|0|0|-1|-1|spiroc ladder repop via revolter
15|airplane|71014|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71015|0|0|0|-1|-1|spiroc ladder repop via caller
16|airplane|71015|respawnself|0|100|0|0|0|0|0|0|0|0|2000|2000|0||71009|0|0|0|-1|-1|spiroc ladder repop via vanquisher
17|airplane|71017|spawn|71070|100|0|0|0|1|0|10|0|0|0|0|0|||1|0|0|-1|-1|a_soul_carrier
18|airplane|71017|spawn|71070|100|0|0|0|1|0|-10|0|0|0|0|0|||1|0|0|-1|-1|a_soul_carrier
19|airplane|71018|spawn|71110|100|0|0|0|1|0|10|0|0|0|0|0|||1|0|0|-1|-1|an_essence_harvester
20|airplane|71018|spawn|71110|100|0|0|0|1|0|-10|0|0|0|0|0|||1|0|0|-1|-1|an_essence_harvester
21|airplane|71021|spawn|71058|100|0|0|0|1|0|0|0|0|0|0|0|||0|0|0|-1|-1|Gorgalosk
