InventoryType|ClassID|SubClassID|EQClassID|WOWItemTemplateID
Chest|4|0|Bard|85003
Chest|4|1|Bard|85003
Chest|4|0|Cleric|85003
Chest|4|1|Cleric|85003
Chest|4|0|Druid|85003
Chest|4|1|Druid|85003
Chest|4|0|Enchanter|85003
Chest|4|1|Enchanter|85003
Chest|4|0|Magician|85003
Chest|4|1|Magician|85003
Chest|4|0|Monk|85003
Chest|4|1|Monk|85003
Chest|4|0|Necromancer|85003
Chest|4|1|Necromancer|85003
Chest|4|0|Paladin|85003
Chest|4|1|Paladin|85003
Chest|4|0|Ranger|85003
Chest|4|1|Ranger|85003
Chest|4|0|Rogue|85003
Chest|4|1|Rogue|85003
Chest|4|0|ShadowKnight|85003
Chest|4|1|ShadowKnight|85003
Chest|4|0|Shaman|85003
Chest|4|1|Shaman|85003
Chest|4|0|Warrior|85003
Chest|4|1|Warrior|85003
Chest|4|0|Wizard|85003
Chest|4|1|Wizard|85003
Waist|4|0|Bard|85006
Waist|4|1|Bard|85006
Waist|4|0|Cleric|85006
Waist|4|1|Cleric|85006
Waist|4|0|Druid|85006
Waist|4|1|Druid|85006
Waist|4|0|Enchanter|85006
Waist|4|1|Enchanter|85006
Waist|4|0|Magician|85006
Waist|4|1|Magician|85006
Waist|4|0|Monk|85006
Waist|4|1|Monk|85006
Waist|4|0|Necromancer|85006
Waist|4|1|Necromancer|85006
Waist|4|0|Paladin|85006
Waist|4|1|Paladin|85006
Waist|4|0|Ranger|85006
Waist|4|1|Ranger|85006
Waist|4|0|Rogue|85006
Waist|4|1|Rogue|85006
Waist|4|0|ShadowKnight|85006
Waist|4|1|ShadowKnight|85006
Waist|4|0|Shaman|85006
Waist|4|1|Shaman|85006
Waist|4|0|Warrior|85006
Waist|4|1|Warrior|85006
Waist|4|0|Wizard|85006
Waist|4|1|Wizard|85006
Shoulder|4|0|Bard|85007
Shoulder|4|1|Bard|85007
Shoulder|4|0|Cleric|85007
Shoulder|4|1|Cleric|85007
Shoulder|4|0|Druid|85007
Shoulder|4|1|Druid|85007
Shoulder|4|0|Enchanter|85007
Shoulder|4|1|Enchanter|85007
Shoulder|4|0|Magician|85007
Shoulder|4|1|Magician|85007
Shoulder|4|0|Monk|85007
Shoulder|4|1|Monk|85007
Shoulder|4|0|Necromancer|85007
Shoulder|4|1|Necromancer|85007
Shoulder|4|0|Paladin|85007
Shoulder|4|1|Paladin|85007
Shoulder|4|0|Ranger|85007
Shoulder|4|1|Ranger|85007
Shoulder|4|0|Rogue|85007
Shoulder|4|1|Rogue|85007
Shoulder|4|0|ShadowKnight|85007
Shoulder|4|1|ShadowKnight|85007
Shoulder|4|0|Shaman|85007
Shoulder|4|1|Shaman|85007
Shoulder|4|0|Warrior|85007
Shoulder|4|1|Warrior|85007
Shoulder|4|0|Wizard|85007
Shoulder|4|1|Wizard|85007
Wrists|4|0|Bard|85008
Wrists|4|1|Bard|85008
Wrists|4|0|Cleric|85008
Wrists|4|1|Cleric|85008
Wrists|4|0|Druid|85008
Wrists|4|1|Druid|85008
Wrists|4|0|Enchanter|85008
Wrists|4|1|Enchanter|85008
Wrists|4|0|Magician|85008
Wrists|4|1|Magician|85008
Wrists|4|0|Monk|85008
Wrists|4|1|Monk|85008
Wrists|4|0|Necromancer|85008
Wrists|4|1|Necromancer|85008
Wrists|4|0|Paladin|85008
Wrists|4|1|Paladin|85008
Wrists|4|0|Ranger|85008
Wrists|4|1|Ranger|85008
Wrists|4|0|Rogue|85008
Wrists|4|1|Rogue|85008
Wrists|4|0|ShadowKnight|85008
Wrists|4|1|ShadowKnight|85008
Wrists|4|0|Shaman|85008
Wrists|4|1|Shaman|85008
Wrists|4|0|Warrior|85008
Wrists|4|1|Warrior|85008
Wrists|4|0|Wizard|85008
Wrists|4|1|Wizard|85008
Hands|4|0|Bard|85009
Hands|4|1|Bard|85009
Hands|4|0|Cleric|85009
Hands|4|1|Cleric|85009
Hands|4|0|Druid|85009
Hands|4|1|Druid|85009
Hands|4|0|Enchanter|85009
Hands|4|1|Enchanter|85009
Hands|4|0|Magician|85009
Hands|4|1|Magician|85009
Hands|4|0|Monk|85009
Hands|4|1|Monk|85009
Hands|4|0|Necromancer|85009
Hands|4|1|Necromancer|85009
Hands|4|0|Paladin|85009
Hands|4|1|Paladin|85009
Hands|4|0|Ranger|85009
Hands|4|1|Ranger|85009
Hands|4|0|Rogue|85009
Hands|4|1|Rogue|85009
Hands|4|0|ShadowKnight|85009
Hands|4|1|ShadowKnight|85009
Hands|4|0|Shaman|85009
Hands|4|1|Shaman|85009
Hands|4|0|Warrior|85009
Hands|4|1|Warrior|85009
Hands|4|0|Wizard|85009
Hands|4|1|Wizard|85009
Legs|4|0|Bard|85010
Legs|4|1|Bard|85010
Legs|4|0|Cleric|85010
Legs|4|1|Cleric|85010
Legs|4|0|Druid|85010
Legs|4|1|Druid|85010
Legs|4|0|Enchanter|85010
Legs|4|1|Enchanter|85010
Legs|4|0|Magician|85010
Legs|4|1|Magician|85010
Legs|4|0|Monk|85010
Legs|4|1|Monk|85010
Legs|4|0|Necromancer|85010
Legs|4|1|Necromancer|85010
Legs|4|0|Paladin|85010
Legs|4|1|Paladin|85010
Legs|4|0|Ranger|85010
Legs|4|1|Ranger|85010
Legs|4|0|Rogue|85010
Legs|4|1|Rogue|85010
Legs|4|0|ShadowKnight|85010
Legs|4|1|ShadowKnight|85010
Legs|4|0|Shaman|85010
Legs|4|1|Shaman|85010
Legs|4|0|Warrior|85010
Legs|4|1|Warrior|85010
Legs|4|0|Wizard|85010
Legs|4|1|Wizard|85010
Feet|4|0|Bard|85011
Feet|4|1|Bard|85011
Feet|4|0|Cleric|85011
Feet|4|1|Cleric|85011
Feet|4|0|Druid|85011
Feet|4|1|Druid|85011
Feet|4|0|Enchanter|85011
Feet|4|1|Enchanter|85011
Feet|4|0|Magician|85011
Feet|4|1|Magician|85011
Feet|4|0|Monk|85011
Feet|4|1|Monk|85011
Feet|4|0|Necromancer|85011
Feet|4|1|Necromancer|85011
Feet|4|0|Paladin|85011
Feet|4|1|Paladin|85011
Feet|4|0|Ranger|85011
Feet|4|1|Ranger|85011
Feet|4|0|Rogue|85011
Feet|4|1|Rogue|85011
Feet|4|0|ShadowKnight|85011
Feet|4|1|ShadowKnight|85011
Feet|4|0|Shaman|85011
Feet|4|1|Shaman|85011
Feet|4|0|Warrior|85011
Feet|4|1|Warrior|85011
Feet|4|0|Wizard|85011
Feet|4|1|Wizard|85011
Robe|4|0|Bard|85161
Robe|4|1|Bard|85161
Robe|4|0|Cleric|85161
Robe|4|1|Cleric|85161
Robe|4|0|Druid|85161
Robe|4|1|Druid|85161
Chest|4|0|Enchanter|85161
Robe|4|0|Enchanter|85161
Chest|4|1|Enchanter|85161
Robe|4|1|Enchanter|85161
Chest|4|0|Magician|85161
Robe|4|0|Magician|85161
Chest|4|1|Magician|85161
Robe|4|1|Magician|85161
Robe|4|0|Monk|85161
Robe|4|1|Monk|85161
Chest|4|0|Necromancer|85161
Robe|4|0|Necromancer|85161
Chest|4|1|Necromancer|85161
Robe|4|1|Necromancer|85161
Robe|4|0|Paladin|85161
Robe|4|1|Paladin|85161
Robe|4|0|Ranger|85161
Robe|4|1|Ranger|85161
Robe|4|0|Rogue|85161
Robe|4|1|Rogue|85161
Robe|4|0|ShadowKnight|85161
Robe|4|1|ShadowKnight|85161
Robe|4|0|Shaman|85161
Robe|4|1|Shaman|85161
Robe|4|0|Warrior|85161
Robe|4|1|Warrior|85161
Chest|4|0|Wizard|85161
Robe|4|0|Wizard|85161
Chest|4|1|Wizard|85161
Robe|4|1|Wizard|85161
Robe|4|0|Bard|85299
Robe|4|1|Bard|85299
Robe|4|0|Cleric|85299
Robe|4|1|Cleric|85299
Robe|4|0|Druid|85299
Robe|4|1|Druid|85299
Chest|4|0|Enchanter|85299
Robe|4|0|Enchanter|85299
Chest|4|1|Enchanter|85299
Robe|4|1|Enchanter|85299
Chest|4|0|Magician|85299
Robe|4|0|Magician|85299
Chest|4|1|Magician|85299
Robe|4|1|Magician|85299
Robe|4|0|Monk|85299
Robe|4|1|Monk|85299
Chest|4|0|Necromancer|85299
Robe|4|0|Necromancer|85299
Chest|4|1|Necromancer|85299
Robe|4|1|Necromancer|85299
Robe|4|0|Paladin|85299
Robe|4|1|Paladin|85299
Robe|4|0|Ranger|85299
Robe|4|1|Ranger|85299
Robe|4|0|Rogue|85299
Robe|4|1|Rogue|85299
Robe|4|0|ShadowKnight|85299
Robe|4|1|ShadowKnight|85299
Robe|4|0|Shaman|85299
Robe|4|1|Shaman|85299
Robe|4|0|Warrior|85299
Robe|4|1|Warrior|85299
Chest|4|0|Wizard|85299
Robe|4|0|Wizard|85299
Chest|4|1|Wizard|85299
Robe|4|1|Wizard|85299
Robe|4|0|Bard|85326
Robe|4|1|Bard|85326
Robe|4|0|Cleric|85326
Robe|4|1|Cleric|85326
Robe|4|0|Druid|85326
Robe|4|1|Druid|85326
Chest|4|0|Enchanter|85326
Robe|4|0|Enchanter|85326
Chest|4|1|Enchanter|85326
Robe|4|1|Enchanter|85326
Chest|4|0|Magician|85326
Robe|4|0|Magician|85326
Chest|4|1|Magician|85326
Robe|4|1|Magician|85326
Robe|4|0|Monk|85326
Robe|4|1|Monk|85326
Chest|4|0|Necromancer|85326
Robe|4|0|Necromancer|85326
Chest|4|1|Necromancer|85326
Robe|4|1|Necromancer|85326
Robe|4|0|Paladin|85326
Robe|4|1|Paladin|85326
Robe|4|0|Ranger|85326
Robe|4|1|Ranger|85326
Robe|4|0|Rogue|85326
Robe|4|1|Rogue|85326
Robe|4|0|ShadowKnight|85326
Robe|4|1|ShadowKnight|85326
Robe|4|0|Shaman|85326
Robe|4|1|Shaman|85326
Robe|4|0|Warrior|85326
Robe|4|1|Warrior|85326
Chest|4|0|Wizard|85326
Robe|4|0|Wizard|85326
Chest|4|1|Wizard|85326
Robe|4|1|Wizard|85326
TwoHand|2|10|Cleric|85758
TwoHand|2|10|Druid|85758
TwoHand|2|10|Enchanter|85758
TwoHand|2|10|Magician|85758
TwoHand|2|10|Monk|85758
TwoHand|2|10|Necromancer|85758
TwoHand|2|10|Paladin|85758
TwoHand|2|10|Ranger|85758
TwoHand|2|10|ShadowKnight|85758
TwoHand|2|10|Shaman|85758
TwoHand|2|10|Warrior|85758
