id|eq_id|gotemplate_id|enabled|doorid|zone|type|model_name|model_is_skeletal|model_in_equipment|display_name|pos_x|pos_y|pos_z|heading|opentype|tradeskill_focus|eq_objecttype|lockpick|keyitem|altkeyitem|nokeyring|triggerdoor|triggertype|doorisopen|door_param|dest_zone|dest_x|dest_y|dest_z|dest_heading|invert_state|incline|size|islift|close_time|can_open|has_collision|icon|comments
1|112|270000|0|31|befallen|Door|DOOR1|0|0||-531.764|-49.7649|-30.2168|0|54||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
2|113|270001|0|30|befallen|Door|DOOR1|0|0||-531.86|-59.6187|-30.2168|0|54||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
3|114|270002|0|29|befallen|Door|DOOR1|0|0||-543.519|-70.4576|-28.4668|384|54||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
4|115|270003|0|28|befallen|Door|DOOR1|0|0||-533.644|-70.6815|-28.4668|384|54||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
5|116|270004|1|26|befallen|Door|DOOR1|0|0|Door|-169.899|-183.125|-13.9934|384|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
6|117|270005|1|25|befallen|Door|DOOR1|0|0|Door|-179.938|-153.08|-13.9934|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
7|118|270006|1|23|befallen|Door|DOOR1|0|0|Door|-169.827|69.0158|-13.9934|384|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
8|119|270007|1|22|befallen|Door|DOOR1|0|0|Door|-421.725|-72.0945|-41.9822|384|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
9|120|270008|1|21|befallen|Door|DOOR1|0|0|Door|-431.854|-12.868|-41.9822|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
10|121|270009|1|20|befallen|Door|DOOR1|0|0|Door|-571.853|112.674|-41.9822|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
11|122|270010|1|19|befallen|Door|DOOR1|0|0|Door|-558.87|166.021|-41.9822|0|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
12|123|270011|1|18|befallen|Door|DOOR1|0|0|Door|-571.825|-12.0268|-41.9822|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
13|124|270012|1|17|befallen|Door|DOOR1|0|0|Door|-561.758|53.7047|-41.9822|384|0||0|25|20362|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
14|125|270013|1|16|befallen|Door|DOOR1|0|0|Door|-602.864|-40.0095|-69.971|256|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
15|126|270014|1|15|befallen|Door|DOOR1|0|0|Door|-851.728|-180.835|-69.971|127.54|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
16|127|270015|1|14|befallen|Door|DOOR1|0|0|Door|-950.628|-71.9201|-69.971|0|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
17|128|270016|1|13|befallen|Door|DOOR1|0|0|Door|-211.946|-83.8161|-13.9934|384|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
18|129|270017|1|12|befallen|Door|DOOR1|0|0|Door|-221.826|0.324725|-13.9934|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
19|130|270018|1|11|befallen|Door|DOOR1|0|0|Door|-277.852|-0.229541|-13.9934|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
20|131|270019|1|10|befallen|Door|DOOR1|0|0|Door|-267.937|-83.4136|-13.9934|384|0||0|11|20361|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
21|132|270020|1|9|befallen|Door|DOOR1|0|0|Door|-319.902|-153.262|-13.9934|128|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
22|133|270021|1|8|befallen|Door|DOOR1|0|0|Door|-463.263|-99.9915|-41.9822|0|0||0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|1|0|
