spawngroupID|npcID|chance|mintime|maxtime|min_expansion|max_expansion|content_flags|content_flags_disabled|wowcustom
1002|1002|100|0|0|-1|-1|||0
1006|1006|100|0|0|-1|-1|||0
1007|1007|100|0|0|-1|-1|||0
1008|1008|100|0|0|-1|-1|||0
1009|1009|100|0|0|-1|-1|||0
1010|1010|100|0|0|-1|-1|||0
1011|1011|100|0|0|-1|-1|||0
1012|1012|100|0|0|-1|-1|||0
1013|1013|100|0|0|-1|-1|||0
1014|1014|100|0|0|-1|-1|||0
1015|1015|100|0|0|-1|-1|||0
1016|1016|100|0|0|-1|-1|||0
1017|1017|100|0|0|-1|-1|||0
1018|1018|100|0|0|-1|-1|||0
1019|1019|100|0|0|-1|-1|||0
1020|1020|100|0|0|-1|-1|||0
1021|1021|100|0|0|-1|-1|||0
1022|1022|100|0|0|-1|-1|||0
1023|1023|100|0|0|-1|-1|||0
1024|1024|100|0|0|-1|-1|||0
1027|1027|100|0|0|-1|-1|||0
1028|1028|100|0|0|-1|-1|||0
1029|1029|100|0|0|-1|-1|||0
1030|1030|100|0|0|-1|-1|||0
1031|1031|100|0|0|-1|-1|||0
1032|1032|100|0|0|-1|-1|||0
1033|1033|100|0|0|-1|-1|||0
1035|1035|100|0|0|-1|-1|||0
1036|1036|100|0|0|-1|-1|||0
1037|1037|100|0|0|-1|-1|||0
1038|1038|100|0|0|-1|-1|||0
1039|1039|100|0|0|-1|-1|||0
1040|1040|100|0|0|-1|-1|||0
1041|1041|100|0|0|-1|-1|||0
1042|1042|100|0|0|-1|-1|||0
1043|1043|100|0|0|-1|-1|||0
1044|1044|100|0|0|-1|-1|||0
1045|1045|100|0|0|-1|-1|||0
1046|1046|100|0|0|-1|-1|||0
1047|1047|100|0|0|-1|-1|||0
1049|1049|100|0|0|-1|-1|||0
1050|1050|100|0|0|-1|-1|||0
1051|1051|100|0|0|-1|-1|||0
1052|1052|100|0|0|-1|-1|||0
1053|1053|100|0|0|-1|-1|||0
1054|1054|100|0|0|-1|-1|||0
1055|1055|100|0|0|-1|-1|||0
1056|1056|100|0|0|-1|-1|||0
1057|1057|100|0|0|-1|-1|||0
1058|1058|100|0|0|-1|-1|||0
1059|1059|100|0|0|-1|-1|||0
1060|1060|100|0|0|-1|-1|||0
1061|1061|100|0|0|-1|-1|||0
1062|1062|100|0|0|-1|-1|||0
1063|1063|100|0|0|-1|-1|||0
1064|1064|100|0|0|-1|-1|||0
1065|1065|100|0|0|-1|-1|||0
1066|1066|100|0|0|-1|-1|||0
1067|1067|100|0|0|-1|-1|||0
1068|1068|100|0|0|-1|-1|||0
1069|1069|100|0|0|-1|-1|||0
1071|1071|100|0|0|-1|-1|||0
1072|1072|100|0|0|-1|-1|||0
1074|1074|100|0|0|-1|-1|||0
1075|1075|100|0|0|-1|-1|||0
1076|1076|100|0|0|-1|-1|||0
1077|1077|100|0|0|-1|-1|||0
1078|1078|100|0|0|-1|-1|||0
1079|1079|100|0|0|-1|-1|||0
1080|1080|100|0|0|-1|-1|||0
1081|1081|100|0|0|-1|-1|||0
1082|1082|100|0|0|-1|-1|||0
1083|1083|100|0|0|-1|-1|||0
1084|1084|100|0|0|-1|-1|||0
1085|1085|100|0|0|-1|-1|||0
1086|1086|100|0|0|-1|-1|||0
1087|1087|100|0|0|-1|-1|||0
1088|1088|100|0|0|-1|-1|||0
1089|1089|100|0|0|-1|-1|||0
1090|1090|100|0|0|-1|-1|||0
1091|1091|100|0|0|-1|-1|||0
1092|1092|100|0|0|-1|-1|||0
1093|1093|100|0|0|-1|-1|||0
1094|1094|100|0|0|-1|-1|||0
1095|1095|100|0|0|-1|-1|||0
1096|1096|100|0|0|-1|-1|||0
1097|1097|100|0|0|-1|-1|||0
1098|1098|100|0|0|-1|-1|||0
1099|1099|100|0|0|-1|-1|||0
1100|1100|100|0|0|-1|-1|||0
1101|1101|100|0|0|-1|-1|||0
1102|1102|100|0|0|-1|-1|||0
1103|1103|100|0|0|-1|-1|||0
1104|1104|100|0|0|-1|-1|||0
1105|1105|100|0|0|-1|-1|||0
1106|1106|100|0|0|-1|-1|||0
1107|1107|100|0|0|-1|-1|||0
1108|1108|100|0|0|-1|-1|||0
1109|1109|100|0|0|-1|-1|||0
1110|1110|100|0|0|-1|-1|||0
1111|1111|100|0|0|-1|-1|||0
1112|1112|100|0|0|-1|-1|||0
1113|1113|100|0|0|-1|-1|||0
1114|1114|100|0|0|-1|-1|||0
1115|1115|100|0|0|-1|-1|||0
1116|1116|100|0|0|-1|-1|||0
1117|1117|100|0|0|-1|-1|||0
1118|1118|100|0|0|-1|-1|||0
1119|1119|100|0|0|-1|-1|||0
1120|1120|100|0|0|-1|-1|||0
1121|1121|100|0|0|-1|-1|||0
1122|1122|100|0|0|-1|-1|||0
1123|1123|100|0|0|-1|-1|||0
1124|1124|100|0|0|-1|-1|||0
1125|1125|100|0|0|-1|-1|||0
1126|1126|100|0|0|-1|-1|||0
1127|1127|100|0|0|-1|-1|||0
1128|1128|100|0|0|-1|-1|||0
1129|1129|100|0|0|-1|-1|||0
1130|1130|100|0|0|-1|-1|||0
1131|1131|100|0|0|-1|-1|||0
1132|1132|100|0|0|-1|-1|||0
1134|1134|100|0|0|-1|-1|||0
1136|1136|100|0|0|-1|-1|||0
1137|1137|100|0|0|-1|-1|||0
1138|1138|100|0|0|-1|-1|||0
1139|1139|100|0|0|-1|-1|||0
1140|1140|100|0|0|-1|-1|||0
1141|1141|100|0|0|-1|-1|||0
1142|1142|100|0|0|-1|-1|||0
1146|1146|100|0|0|-1|-1|||0
1147|1147|100|0|0|-1|-1|||0
1148|1148|100|0|0|-1|-1|||0
1150|1150|100|0|0|-1|-1|||0
1152|1152|100|0|0|-1|-1|||0
1153|1190|100|0|0|-1|-1|||0
1158|1158|100|0|0|-1|-1|||0
