id|zone|name|spawn_limit|max_x|min_x|max_y|min_y|delay|mindelay|despawn|despawn_timer|rand_spawns|rand_respawntime|rand_variance|rand_condition_|wp_spawns|wowcustom|spawn_zone_event_id|despawn_zone_event_id
1002|qeynos|qeynos_Guard_Jerith14|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|1|-1
1006|qeynos|qeynos_Guard_Cyrillian13|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|1|-1
1007|qeynos|qeynos_Miltiades_Tal`Azroth19|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1008|qeynos|qeynos_Topala_Xenem20|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1009|qeynos|qeynos_Oriyame_Nelafre21|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1010|qeynos|qeynos_Fesse_Bontex22|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1011|qeynos|qeynos_Trisco_Qental23|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1012|qeynos|qeynos_Dumisa_D`Enetti24|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1013|qeynos|qeynos_Rosdaria_Sepria25|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1014|qeynos|qeynos_Sinon_Loarpe26|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1015|qeynos|qeynos_Gende_Reldari27|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1016|qeynos|qeynos_Headara_Ponido28|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1017|qeynos|qeynos_Ingaria_Dinego29|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1018|qeynos|qeynos_Tsuden_Korinte30|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1019|qeynos|qeynos_Moreo_O`Meek31|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1020|qeynos|qeynos_Isobelle_Losiwoo32|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1021|qeynos|qeynos_Corrao_Duperame33|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1022|qeynos|qeynos_Gero_Yopetu34|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1023|qeynos|qeynos_Celamari_Marre35|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
1024|qeynos|qeynos_Pai_Berenis36|0|0|0|0|0|0|15000|0|100|0|1200|0|0|0|0|-1|-1
