name|audiofilenamenoext|type|mindistance|distancecutoff|loop|volume|soundentry_dbcid
JumpM_1.WAV|JumpM_1.WAV|10|10|20|0|1|22000
GetHit1M.WAV|GetHit1M.WAV|10|10|20|0|1|22001
GetHit2M.WAV|GetHit2M.WAV|10|10|20|0|1|22002
GetHit3M.WAV|GetHit3M.WAV|10|10|20|0|1|22003
GetHit4M.WAV|GetHit4M.WAV|10|10|20|0|1|22004
Gasp1M.WAV|Gasp1M.WAV|10|10|20|0|1|22005
Gasp2M.WAV|Gasp2M.WAV|10|10|20|0|1|22006
Death_M.WAV|Death_M.WAV|10|10|20|0|1|22007
Drown_M.WAV|Drown_M.WAV|10|10|20|0|1|22008
Walk_Lp.wav|Walk_Lp.wav|10|10|20|0|1|22009
Punch1.WAV|Punch1.WAV|10|10|20|0|1|22010
LeftAtk.WAV|LeftAtk.WAV|10|10|20|0|1|22011
runlp.wav|runlp.wav|10|10|20|0|1|22012
JumpF_1.WAV|JumpF_1.WAV|10|10|20|0|1|22013
GetHit1F.WAV|GetHit1F.WAV|10|10|20|0|1|22014
GetHit2F.WAV|GetHit2F.WAV|10|10|20|0|1|22015
GetHit3F.WAV|GetHit3F.WAV|10|10|20|0|1|22016
GetHit4F.WAV|GetHit4F.WAV|10|10|20|0|1|22017
Gasp1F.WAV|Gasp1F.WAV|10|10|20|0|1|22018
Gasp2F.WAV|Gasp2F.WAV|10|10|20|0|1|22019
Death_F.WAV|Death_F.WAV|10|10|20|0|1|22020
Drown_F.WAV|Drown_F.WAV|10|10|20|0|1|22021
JumpM_1B.WAV|JumpM_1B.WAV|10|10|20|0|1|22022
GetHit1MB.WAV|GetHit1MB.WAV|10|10|20|0|1|22023
GetHit2MB.WAV|GetHit2MB.WAV|10|10|20|0|1|22024
GetHit3MB.WAV|GetHit3MB.WAV|10|10|20|0|1|22025
GetHit4MB.WAV|GetHit4MB.WAV|10|10|20|0|1|22026
Gasp1MB.WAV|Gasp1MB.WAV|10|10|20|0|1|22027
Gasp2MB.WAV|Gasp2MB.WAV|10|10|20|0|1|22028
Death_MB.WAV|Death_MB.WAV|10|10|20|0|1|22029
Drown_MB.WAV|Drown_MB.WAV|10|10|20|0|1|22030
JumpF_1B.WAV|JumpF_1B.WAV|10|10|20|0|1|22031
GetHit1FB.WAV|GetHit1FB.WAV|10|10|20|0|1|22032
GetHit2FB.WAV|GetHit2FB.WAV|10|10|20|0|1|22033
GetHit3FB.WAV|GetHit3FB.WAV|10|10|20|0|1|22034
GetHit4FB.WAV|GetHit4FB.WAV|10|10|20|0|1|22035
Gasp1FB.WAV|Gasp1FB.WAV|10|10|20|0|1|22036
Gasp2FB.WAV|Gasp2FB.WAV|10|10|20|0|1|22037
Death_FB.WAV|Death_FB.WAV|10|10|20|0|1|22038
Drown_FB.WAV|Drown_FB.WAV|10|10|20|0|1|22039
JumpM_1L.WAV|JumpM_1L.WAV|10|10|20|0|1|22040
GetHit1ML.WAV|GetHit1ML.WAV|10|10|20|0|1|22041
GetHit2ML.WAV|GetHit2ML.WAV|10|10|20|0|1|22042
GetHit3ML.WAV|GetHit3ML.WAV|10|10|20|0|1|22043
GetHit4ML.WAV|GetHit4ML.WAV|10|10|20|0|1|22044
Gasp1ML.WAV|Gasp1ML.WAV|10|10|20|0|1|22045
Gasp2ML.WAV|Gasp2ML.WAV|10|10|20|0|1|22046
Death_ML.WAV|Death_ML.WAV|10|10|20|0|1|22047
Drown_ML.WAV|Drown_ML.WAV|10|10|20|0|1|22048
JumpF_1L.WAV|JumpF_1L.WAV|10|10|20|0|1|22049
GetHit1FL.WAV|GetHit1FL.WAV|10|10|20|0|1|22050
GetHit2FL.WAV|GetHit2FL.WAV|10|10|20|0|1|22051
GetHit3FL.WAV|GetHit3FL.WAV|10|10|20|0|1|22052
GetHit4FL.WAV|GetHit4FL.WAV|10|10|20|0|1|22053
Gasp1FL.WAV|Gasp1FL.WAV|10|10|20|0|1|22054
Gasp2FL.WAV|Gasp2FL.WAV|10|10|20|0|1|22055
Death_FL.WAV|Death_FL.WAV|10|10|20|0|1|22056
Drown_FL.WAV|Drown_FL.WAV|10|10|20|0|1|22057
BirdIdl.wav|BirdIdl.wav|10|10|20|0|1|22058
AviakHit.wav|AviakHit.wav|10|10|20|0|1|22059
BirdDie.wav|BirdDie.wav|10|10|20|0|1|22060
AviakAtt.wav|AviakAtt.wav|10|10|20|0|1|22061
AviakSAt.wav|AviakSAt.wav|10|10|20|0|1|22062
WereWIdl.wav|WereWIdl.wav|10|10|20|0|1|22063
WereWHit.wav|WereWHit.wav|10|10|20|0|1|22064
WereWDie.wav|WereWDie.wav|10|10|20|0|1|22065
WereWAtt.wav|WereWAtt.wav|10|10|20|0|1|22066
